
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,604 K
Secure System                   72 Services                   0     38,840 K
Registry                       128 Services                   0     15,240 K
smss.exe                       592 Services                   0        472 K
csrss.exe                      880 Services                   0      2,500 K
wininit.exe                    972 Services                   0      2,080 K
services.exe                   304 Services                   0     11,444 K
LsaIso.exe                     364 Services                   0        724 K
lsass.exe                      452 Services                   0     17,216 K
svchost.exe                   1040 Services                   0      1,396 K
svchost.exe                   1064 Services                   0     28,140 K
fontdrvhost.exe               1096 Services                   0        672 K
svchost.exe                   1192 Services                   0     14,796 K
svchost.exe                   1236 Services                   0      5,920 K
svchost.exe                   1288 Services                   0     11,660 K
svchost.exe                   1384 Services                   0      4,856 K
svchost.exe                   1512 Services                   0      5,336 K
svchost.exe                   1528 Services                   0      3,860 K
svchost.exe                   1536 Services                   0      3,848 K
svchost.exe                   1684 Services                   0      4,812 K
svchost.exe                   1736 Services                   0      4,240 K
svchost.exe                   1744 Services                   0      4,656 K
svchost.exe                   1764 Services                   0      1,112 K
svchost.exe                   1812 Services                   0     12,296 K
svchost.exe                   1856 Services                   0      9,532 K
svchost.exe                   1940 Services                   0      5,532 K
svchost.exe                   1964 Services                   0      2,036 K
svchost.exe                   2052 Services                   0     10,424 K
svchost.exe                   2184 Services                   0      9,440 K
svchost.exe                   2280 Services                   0      5,644 K
svchost.exe                   2292 Services                   0      5,832 K
svchost.exe                   2300 Services                   0      5,884 K
svchost.exe                   2308 Services                   0     17,604 K
svchost.exe                   2320 Services                   0      4,620 K
svchost.exe                   2328 Services                   0      2,524 K
svchost.exe                   2336 Services                   0      1,956 K
Memory Compression            2676 Services                   0    827,028 K
svchost.exe                   2808 Services                   0      6,024 K
svchost.exe                   2836 Services                   0      5,616 K
svchost.exe                   2872 Services                   0      5,320 K
svchost.exe                   2884 Services                   0      3,020 K
igfxCUIService.exe            3032 Services                   0      2,952 K
svchost.exe                   2060 Services                   0      3,288 K
svchost.exe                   2944 Services                   0      4,180 K
svchost.exe                   3076 Services                   0      3,468 K
svchost.exe                   3156 Services                   0      7,800 K
svchost.exe                   3264 Services                   0      3,184 K
svchost.exe                   3348 Services                   0     27,036 K
svchost.exe                   3420 Services                   0      6,116 K
svchost.exe                   3536 Services                   0      7,600 K
svchost.exe                   3748 Services                   0     10,648 K
RtkAudioService64.exe         3756 Services                   0      2,192 K
svchost.exe                   3872 Services                   0      2,188 K
svchost.exe                   3904 Services                   0      4,912 K
svchost.exe                   3920 Services                   0      4,876 K
svchost.exe                   4052 Services                   0      5,148 K
svchost.exe                   3220 Services                   0      3,412 K
svchost.exe                   3496 Services                   0      4,960 K
spoolsv.exe                   4112 Services                   0      3,824 K
armsvc.exe                    4212 Services                   0     10,128 K
svchost.exe                   4256 Services                   0      2,948 K
svchost.exe                   4268 Services                   0     29,796 K
IntelCpHDCPSvc.exe            4276 Services                   0      1,640 K
svchost.exe                   4300 Services                   0     42,224 K
inetinfo.exe                  4308 Services                   0      2,996 K
com.docker.service            4324 Services                   0     83,636 K
FoxitConnectedPDFService.     4332 Services                   0      3,056 K
Everything.exe                4340 Services                   0      3,096 K
masvc.exe                     4348 Services                   0     18,352 K
PwdMgmtProxy.exe              4364 Services                   0      8,624 K
macmnsvc.exe                  4372 Services                   0      4,372 K
svchost.exe                   4388 Services                   0      2,224 K
svchost.exe                   4428 Services                   0      1,676 K
Rocinante.exe                 4444 Services                   0     14,428 K
svchost.exe                   4496 Services                   0      5,008 K
SecurityHealthService.exe     4504 Services                   0      6,148 K
sqlwriter.exe                 4520 Services                   0      2,160 K
svchost.exe                   4532 Services                   0      2,888 K
winvnc.exe                    4544 Services                   0      2,128 K
svchost.exe                   4560 Services                   0      1,632 K
svchost.exe                   4568 Services                   0      2,564 K
TeamViewer_Service.exe        4576 Services                   0      5,336 K
vmms.exe                      4628 Services                   0     11,056 K
svchost.exe                   4668 Services                   0     15,148 K
svchost.exe                    868 Services                   0      1,508 K
IntelCpHeciSvc.exe            3648 Services                   0      2,788 K
